Time,HR
08:30:26,70
08:30:39,70
08:30:54,70
08:31:09,70
08:31:24,70
08:31:39,70
08:31:44,77
08:31:59,77
08:32:20,77
08:32:35,77
08:32:50,77
08:33:05,77
08:33:20,77
08:33:35,77
08:33:50,77
08:34:05,77
08:34:20,77
08:34:35,77
08:34:50,77
08:35:05,77
08:35:20,77
08:35:35,77
08:35:50,77
08:36:08,77
08:36:13,72
08:36:18,70
08:36:23,91
08:36:28,105
08:36:43,105
08:36:48,102
08:36:58,104
08:37:03,109
08:37:08,105
08:37:18,102
08:37:23,103
08:37:38,103
08:37:53,103
08:38:08,103
08:38:18,102
08:38:33,102
08:38:48,102
08:38:53,100
08:38:58,98
08:39:03,97
08:39:08,95
08:39:18,96
08:39:28,95
08:39:34,95
08:39:39,95
08:39:49,94
08:40:04,94
08:40:14,94
08:40:29,94
08:40:44,94
08:40:49,94
08:41:04,94
08:41:19,94
08:41:34,94
08:41:49,94
08:42:04,94
08:42:19,94
08:42:34,94
08:42:49,94
08:43:04,94
08:43:19,94
08:43:34,94
08:43:49,94
08:44:04,94
08:44:19,94
08:44:34,94
08:44:49,94
08:45:04,94
08:45:19,94
08:45:34,94
08:45:37,94
08:45:52,94
08:46:07,94
08:46:22,94
08:46:37,94
08:46:52,94
08:47:07,94
08:47:12,94
08:47:27,94
08:47:42,94
08:47:57,94
08:48:12,94
08:48:27,94
08:48:42,94
08:48:57,94
08:49:12,94
08:49:27,94
08:49:42,94
08:49:57,94
08:50:12,94
08:50:27,94
08:50:42,94
08:50:57,94
08:51:12,94
08:51:22,94
08:51:37,94
08:51:47,95
08:51:56,95
08:52:01,97
08:52:16,97
08:52:31,97
08:52:46,97
08:53:01,97
08:53:06,97
08:53:21,97
08:53:26,97
08:53:31,98
08:53:36,99
08:53:41,100
08:53:56,100
08:54:11,100
08:54:26,100
08:54:41,100
08:54:56,100
08:55:11,100
08:55:16,100
08:55:31,100
08:55:36,99
08:55:41,101
08:55:51,102
08:56:42,70
09:04:04,70
09:04:14,65
09:04:19,64
09:04:24,75
09:10:17,70
09:13:31,70
09:21:22,70
09:21:37,70
09:23:34,70
09:30:58,70
09:33:27,70
09:36:30,70
09:36:37,70
09:39:55,70
09:43:51,70
09:46:32,70
09:52:20,70
09:52:30,64
09:52:35,60
09:52:40,58
09:52:55,65
09:53:00,72
09:53:05,79
09:53:10,85
09:53:15,89
09:53:20,91
09:53:25,97
09:53:30,96
09:53:35,97
09:53:45,99
09:53:50,101
09:53:55,100
09:54:10,100
09:54:15,97
09:54:25,96
09:54:30,97
09:54:35,99
09:54:40,101
09:54:50,97
09:54:55,91
09:55:00,89
09:55:05,87
09:55:16,89
09:55:31,89
09:55:41,91
09:55:56,91
09:56:11,91
09:56:16,95
09:56:21,94
09:56:32,94
09:56:38,94
09:56:43,95
09:56:48,97
09:56:53,96
09:57:02,96
09:57:07,93
09:57:17,96
09:57:22,94
09:57:27,92
09:57:32,93
09:57:37,92
09:57:47,93
09:58:02,94
09:58:07,96
09:58:12,97
09:58:17,98
09:58:27,99
09:58:32,100
09:58:37,102
09:58:52,101
09:58:57,100
09:59:07,101
09:59:12,100
09:59:22,99
09:59:32,98
09:59:42,100
09:59:47,95
10:00:02,95
10:00:17,95
10:00:27,95
10:00:42,95
10:00:44,95
10:00:49,95
10:01:04,95
10:01:19,95
10:01:34,95
10:01:49,95
10:02:04,95
